Tools,Vulnerability name,access_control,arithmetic,denial_service,reentrancy,unchecked_low_calls,bad_randomness,front_running,time_manipulation,short_addresses,Other,Ignore
oyente,Integer Underflow,,True,,,,,,,,,
oyente,Parity Multisig Bug 2,,,,,,,,,,,True
oyente,Re-Entrancy Vulnerability,,,,True,,,,,,,
oyente,Timestamp Dependency,,,,,,,,True,,,
oyente,Transaction-Ordering Dependence (TOD),,,,,,,True,,,,
solhint,compiler-version,,,,,,,,,,True,True
solhint,reason-string,,,,,,,,,,,True
solhint,func-visibility,True,,,,,,,,,,
solhint,avoid-call-value,,,,,,,,,,,True
solhint,avoid-low-level-calls,,,,,,,,,,,True
solhint,avoid-sha3,,,,,,,,,,,True
solhint,visibility-modifier-order,,,,,,,,,,,True
solhint,not-rely-on-time,,,,,,,,True,,,
solhint,contract-name-camelcase,,,,,,,,,,,True
solhint,var-name-mixedcase,,,,,,,,,,,True
solhint,state-visibility,,,,,,,,,,,True
solhint,func-name-mixedcase,,,,,,,,,,,True
solhint,avoid-tx-origin,True,,,,,,,,,,
solhint,payable-fallback,True,,,,,,,,,,
solhint,check-send-result,,,,,True,,,,,,
solhint,multiple-sends,,,,,,,,,,True,True
solhint,avoid-throw,,,,,,,,,,,True
solhint,quotes,,,,,,,,,,,True
solhint,not-rely-on-block-hash,,,,,,True,,,,,
solhint,no-unused-vars,,,,,,,,,,,True
solhint,const-name-snakecase,,,,,,,,,,,True
solhint,no-inline-assembly,,,,,,,,,,,True
solhint,no-empty-blocks,,,,,,,,,,,True
solhint,no-complex-fallback,,,,,,,,,,,True
solhint,avoid-suicide,,,,,,,,,,,True
solhint,max-states-count,,,,,,,,,,,True
solhint,event-name-camelcase,,,,,,,,,,,True
solhint,use-forbidden-name,,,,,,,,,,,True
solhint,reentrancy,,,,True,,,,,,,
semgrep,non-payable-constructor,,,,,,,,,,,True
ethor-2023,secure,,,,,,,,,,,True
ethor-2023,insecure,,,,,,,,,,True,True
mythril,strict ether balance check,,,True,,,,,,,,
slither,arbitrary-send-erc20,True,,,,,,,,,,
slither,constant-function-state,,,,,,,,,,,True
slither,unimplemented-functions,,,,,,,,,,,True
slither,void-cst,,,,,,,,,,,True
slither,write-after-write,,,,,,,,,,,True
slither,erc721-interface,,,,,,,,,,True,True
slither,reused-constructor,,,,,,,,,,,True
slither,assert-state-change,,,,,,,,,,,True
slither,boolean-cst,,,,,,,,,,,True
confuzzius,Locking Ether,,,,,,,,,,True,True
madmax,UnboundedMassOp,,,True,,,,,,,,
semgrep,non-optimal-variables-swap,,,,,,,,,,,True
semgrep,use-abi-encodecall-instead-of-encodewithselector,,,,,,,,,,,True
semgrep,erc20-public-transfer,True,,,,,,,,,,
osiris,Signedness bugs,,True,,,,,,,,,
maian,Destructible,True,,,,,,,,,,
madmax,OverflowLoopIterator,,,True,,,,,,,,
securify2,Unrestricted_call_to_selfdestruct,True,,,,,,,,,,
securify2,Missing_Input_Validation,True,,,,,,,,,,
securify2,Delegatecall_or_callcode_to_unrestricted_address,True,,,,,,,,,,
securify2,Possibly_unsafe_usage_of_tx_origin,True,,,,,,,,,,
securify2,State_variables_default_visibility,True,,,,,,,,,,
securify2,Multiplication_after_division,,True,,,,,,,,,
securify2,Transaction_Order_Affects_Execution_of_Ether_Transfer,,,,,,,True,,,,
securify2,Transaction_Order_Affects_Ether_Amount,,,,,,,True,,,,
securify2,Transaction_Order_Affects_Ether_Receiver,,,,,,,True,,,,
securify2,Usage_of_block_timestamp,,,,,,,,True,,,
securify2,Unhandled_Exception,,,,,,,,,,,True
securify2,External_Calls_of_Functions,,,True,,,,,,,,
securify2,Locked_Ether,,,True,,,,,,,,
securify2,External_call_in_loop,,,True,,,,,,,,
securify2,Repeated_Call_to_Untrusted_Contract,,,True,,,,,,,,
securify2,Unrestricted_Ether_Flow,,,True,,,,,,,,
securify2,Solidity_pragma_directives,,,,,,,,,,,True
securify2,Right_to_left_override_pattern,,,,,,,,,,,True
securify2,Low_Level_Calls,True,,,,,,,,,,
securify2,State_Variable_Shadowing,,,,,,,,,,,True
securify2,Gas_dependent_Reentrancy,,,,True,,,,,,,
securify2,Reentrancy_with_constant_gas,,,,True,,,,,,,
securify2,Benign_Reentrancy,,,,True,,,,,,,
securify2,No_Ether_Involved_Reentrancy,,,,True,,,,,,,
securify2,no_ether_involved_reentrancy,,,,True,,,,,,,
securify2,Uninitialized_Local_Variables,,,,,,,,,,,True
securify2,Unrestricted_write_to_storage,True,,,,,,,,,,
securify2,Uninitialized_State_Variable,,,,,,,,,,True,
gptscan,MWE-200: Insecure LP Token Value Calculation,,,,,,,,,,True,
gptscan,MWE-201: Insecure Vote Calculation,,,,,,,,,,True,
gptscan,MWE-202: Insecure Token Buying Behavior,,,,,,,True,,,,
gptscan,MWE-203: Approval Not Revoked,True,,,,,,,,,,
gptscan,MWE-204: Unsafe First Deposit,,,,,,,,,,True,
gptscan,MWE-205: Front Running,,,,,,,True,,,,
gptscan,MWE-206: No Slippage Limit Check,,,,,,,True,,,,
gptscan,MWE-207: Unauthorized Transfer,True,,,,,,,,,,
gptscan,MWE-208: Wrong Order for Checkpoint,,,,,,,,,,True,
gptscan,MWE-209: Wrong Order for Interest or ExchangeRate,,,,,,,,,,True,
sailfish,dao,,,,True,,,,,,,
sailfish,tod_transfer,,,,,,,True,,,,
sailfish,tod_amount_or_receiver,,,,,,,True,,,,
smartian,mishandled-exception,,,,,True,,,,,,
smartian,assertion-failure,,,,,,,,,,,True
smartian,integer-bug,,True,,,,,,,,,
smartian,ether-leak,True,,,,,,,,,,
smartian,blockstate-dependency,,,,,,,,True,,,
smartian,reentrancy,,,,True,,,,,,,
smartian,multiple-send,,,True,,,,,,,,
smartian,arbitrary-write,,,,,,,,,,,True
smartian,transaction-origin-use,True,,,,,,,,,,
smartian,control-hijack,,,,,,,,,,,True
smartian,suicidal-contract,True,,,,,,,,,,
smartian,freezing-ether,,,True,,,,,,,,
smartian,requirement-violation,,,,,,,,,,,True
smartian,smartian-unknown,,,,,,,,,,,True
vulhunter,reentrancy-eth,,,,True,,,,,,,
vulhunter,controlled-array-length,True,,,,,,,,,,
vulhunter,suicidal,True,,,,,,,,,,
vulhunter,controlled-delegatecall,True,,,,,,,,,,
vulhunter,arbitrary-send,True,,,,,,,,,,
vulhunter,tod,,,,,,,True,,,,
vulhunter,uninitialized-state,,,,,,,,,,True,
vulhunter,parity-multisig-bug,,,,,,,,,,True,
vulhunter,incorrect-equality,,,True,,,,,,,,
vulhunter,integer-overflow,,True,,,,,,,,,
vulhunter,unchecked-lowlevel,,,,,True,,,,,,
vulhunter,tx-origin,True,,,,,,,,,,
vulhunter,locked-ether,,,True,,,,,,,,
vulhunter,unchecked-send,,,,,True,,,,,,
vulhunter,boolean-cst,,,,,,,,,,True,
vulhunter,erc721-interface,,,,,,,,,,True,
vulhunter,erc20-interface,,,,,,,,,,True,
vulhunter,costly-loop,,,True,,,,,,,,
vulhunter,timestamp,,,,,,,,True,,,
vulhunter,block-other-parameters,,,,,,True,,,,,
vulhunter,calls-loop,,,True,,,,,,,,
vulhunter,low-level-calls,,,,,,,,,,,True
vulhunter,erc20-indexed,,,,,,,,,,,True
vulhunter,erc20-throw,,,,,,,,,,,True
vulhunter,hardcoded,,,,,,,,,,,True
